,Rating,Reviews
0,7,Not As Good As The First Following the events of civil war Scott is in his final days of house arrest but just before he is released Hope and Hank need his help to save their wife and mother respectively.I would consider this a good movie but it does quite a few issues that make it not as enjoyable.The acting across the board is very good. Paul Rudd is great as Scott and just as comedic as before. Evangeline Lily and Michael Douglas are both great as their respective characters.One issue I had with this film is the fact that Scott isn't all that involved with the core plot. He does have a role to play but it doesn't have the same sort of impact that the plot had on him during the first.Hope on the other hand has a lot to do in this film and it is great to see her character grow and develop. We get to see her as the wasp and her action sequences are really creative and fun to watch.Ghost played by Hannah John-Kamen is the villain of this story. Her character has a really intriguing backstory and motive but the lack of development makes her character less compelling.The other villain in this film is Sonny Burch played by Walton Goggins. You could remove this character from the film and essentially nothing would change. His character and the characters that surround him are very insignificant.There is a lot that goes on with Janet Pym played by Michelle Pfieffer and the majority of it is not explained. So although what goes on with Janet is interesting it is ruined by the lack of explanation.Overall this is a good film. With lots of comedy creative action and the development of Hope Ant-Man and the Wasp is a solid film.7.5/10.
1,8,"The most underrated Marvel movie This is a sequel to 2015's Ant-Man that I saw 4 years ago, and I really loved it, and after a rewatch it's the most underrated and overhated Marvel movie, it's quality popcorn flick and is what it tries to be.Michael Pena and Paul Rudd crush it again, and the humor is spot on, Ant-Man and the Wasp is an action packed, hilarious, total breeze of a Marvel movie and it gave way to the best MCU movie to date.Evangeline Lilly shines even more here and does a great job, and pretty much the only complaint I have is the non comic accurate villainI'm gonna give Ant-Man and the Wasp an A-"
2,8,"this is supeeeerrrrr funnnnyy This movie is just funnybut again, it doesn't help that it's slapped between avengers 3.But other than that, i actually thought that the ""villain"" was good and had good intentionspaul rudd does a great job with his character and i thought the wasp was a great addition to the story. Making her be apart of any-man's story instead of her getting her own movie is the right move.I'm intrigued for the trequel especially with Kang being the villain."
3,8,"Love it so much! One of my favourites, hands down. While it does lag in some areas (and the shots underwater were hard to see at times) it's still a fun ride and really enjoyable. The cast is amazing."
4,6,"Daddy Jimmy This movie was simply mediocre. I enjoyed the comedy in it, but some of the rest was boring. Both of the villains were hilariously bad and uninteresting. Ghost was a villain with no personality whatsoever. Sunny Boy villain was so forgettable in every way. I like the fact, that we got the Wasp, but even her character was kind of dull in this. I enjoyed Jimmy Woo. He was a fun addition to the movie. Some of the action was decent, i guess. Overall, this movie is just forgettable and blurry in memory now."
5,8,"8 It's nice to watch a MARVEL movie in which the whole world doesn't hang by a thread for a change. These threats are personal, and yet the writers still feel the need to throw in some heightened countdowns to save Janet, deal with the ghost with the help of Hank's old friend/nemesis Bill (Fishburne). And while the melee series is exhilarating, the complex chases feel familiar, even with all the waning-growing chaos. Luckily, there's plenty more witty banter and inventive directorial touches to keep audiences entertained.Rudd, as always, is surprisingly offhand, moving easily from comedy to emotion and introducing both into action scenes. It's impressive that he never takes anything seriously and yet holds the film together. His interactions with each of the other characters are filled with subtext that allows everyone to shine.It's pretty much exactly what fans will want from an Ant-Man film, and much more than what made the first film such a breakout hit. On the other hand, more adventurous moviegoers will be a little disappointed to see this corner of the Avengers universe settle into such a bookish narrative, with the usual techno nonsense and spectacle just for the sake of it. However, there is a lot of life in this character, and the final scene is a real punch in the gut."
6,9,An incredible story link in the MCU The second Ant-Man film so far is satisfactory. This film is still with the comedy style of Michael Pena as Luis and Paul Rudd as Scott Lang which can still be enjoyed. The inner conflict between son and father is described as very emotional. The visual design in the quantum realm is very good. This film is interesting as a connecting road in the MCU.
7,6,"Perhaps the lightest and most Perhaps the lightest and most airy, as opposed to the third ""Avengers"", Marvel film. The soft-spoken narrative is the best way to make Ant-Man and the Wasp the first movie in the line for your 6-7 year old child who is fond of superheroes. A well-developed antagonist with a simple but believable motivation, lack of responsibility for the fate of the world, excellent actors - all this makes the film an ideal candidate for family viewing. Of the minuses, one can only single out again the stupid order of the post-credits scenes (important - at first, meaningless - after long credits) and the lack of a clear (and generally any) answer to the question, where did Lang and the Wasp cool off during the invasion of Thanos, first in New York and then to Wakanda."
8,6,"The Ant sequel for me The Ant sequel for me turned out to be no better and no worse than the original, but did not become a dull self-copying. All the same light, pleasant and funny. Let the plot and without any surprises, but you definitely won't be bored. The Rudd/Lilly/Douglas trio are also wonderful, very happy with the chemistry. The new actors fit in pretty well. A curious difference from the original is that there is no pronounced antagonist in the usual comic book sense. The quantum world looks bright and interesting. Fresh action with Wasp is very good. By the way, I don't mind if, over time, there will be more strong characters in Marvel, because so far they have turned out just fine. Well, taking into account the fact that we will see Captain Marvel only in March, we can confidently say that Marvel again gave out a great year, all three films were able to meet expectations and give a lot of positive emotions."
9,8,"very interesting film Marvel movies are my favorite. All films are very interesting. If you want to understand everything straight, then you need to watch all the films in turn. While watching the movie, you get used to the main characters very much and you start to worry about them. This movie is suitable for the whole family to watch, and it will be interesting for children and adults."
