,Rating,Reviews
0,7,Florence Pugh <3 Black Widow is not bad movie. For me is very nice. Scarlet Johanson is top level at this movie. PUGH is FABULASTIC!!! FANTASTIC play from Florence. David Harbour is very humoristic man and he is brilliant.
1,1,"Trash A bunch of Action scenes, that has a trash story. This movie pacing is too fast, it's scene hopping for an hour straight, slow-normal pacing would of been better for this story."
2,6,"Had the potential to be great, squandered with weak script and direction. I have loved Scarlett Johansson's Black Widow since the classic interrogation scene in Iron Man 2. Have looked forward to seeing this. Unfortunately it does not live up to the hyped-up expectations. The set-up is long and drawn out in a protracted opening where nothing happens until an explosion and a fight over the 'magic potion McGuffin'.The strongest feature of the movie is the introduction of Florence Pugh as the pseudo-sister. Pugh's poking at Widow is relentless especially with the running 'poser' gag, 'cool way to die' etc. The dynamic between Johansson and Pugh works well, but the dysfunctional pretend family is strained and unnatural. Ray Winstone is cast as Ray Winstone with a terrible Russian accent and is absent throughout. Don't get me started on the pheromones nonsense, although Widow's solution to this is hilarious.Sad-to-say this is a travesty of what could and should have been a fabulous movie."
3,9,"The Female of The Species is more Deadly Marvel Managed to get this one Right after a Mediocre Couple of Mishaps with Thor the Dark World and then Loki the Series which Did nothing for me and was a huge Disappointment.So to Hit the Mark With Black Widow in all respects of Story,Action and Outright Chemistry between Johannsen and Pugh was Enlightening.If I had to Give any Negative then it would be why oh why Cast Ray Winstone as a Russian Baddie when He can really only do a Cockney Accent in every Movie he does,I'm Sure there were better options for his part. Other than that a Great Offering from Marvel."
4,1,"Quite a bit of Ho-Hum As a fan of SciFi, I tried to catch up on the latest ""SciFi"" releases of the last few years that I missed. This movie came up. Watching it almost made my lunch come up. The weak, watery story and the interminable scenes of female wrestling (marginally better, I suppose, than watching males wrestling) could be improved by the protagonists accidentally falling in a vat of baked beans for those prolonged fight scenes. Not funny, not serious, not interesting, not SciFi..."
5,4,"Black Widow A very deserving farewell for a beloved character in MCU. However, unlike other superheroes, Black Widow as a character simply lacks the punch that other characters possess. Perhaps better equipped to be made as a more traditional spy movie, Black Widow is stuck between that and a Marvel flick. It lacks the touch of magic and the film feels flat. Also would have liked to see more of Natasha's past before she became Black Widow. The ending however is quite fulfilling, an honest and heartfelt farewell."
6,9,"I really enjoyed this film. It was action packed and kept me hooked all the way through and the cast were so good, Scarlett Johansson is always good, but I was so impressed with Florence Pugh, she was brilliant, it's nice to see David Harbour and also great to see the beautiful Rachel Weisz.I'm a little bit baffled by the low score as in my opinion it's better than many of the other marvel films."
7,1,I should have read the reviews Slow ... dumb ... not entertaining.Made me think of how great the first Iron-Man was ... and how this movie never captured my attention like it did.
8,10,"It was very enjoyable It was very enjoyable. I didn't have any expectations though and knew that this will not be a superhero movie like Thor, Guardians of the galaxy and so on. I knew it was going to be more of a soldier or spy kind of thing like james bond and so on. Having said that, it was fun and enjoyable. I loved the jokes and the story flowed smoothly."
9,3,"I was hoping for some fun or action But no luck! Why not? Marvel and Disney that is why!Also no sister nudity. Hate on nature much? Body issues because you are fat? Well, she is not and we also like to see women because we admire them."
10,7,"Better than what people say. This is definitely not the worst MCU movie. I enjoyed many parts of it. The opening was entertaining. Florence Pugh and David Harbour steal the movie however. I'm excited to see more of them in the MCU. Most of the action scenes worked for me. The story is meh. Not the best swan song for Black Widow. And the cgi is pretty bad. But overall, it's a middle of the road MCU movie."
11,2,"Too little too late Join ScarJo as she battles Marvel audiences for some form of mediocrity. Horrible film; decent one liners, ok performances. But not needed nor memorable. Inane ""girl power"" action that while stellar feels too little and too late to be anything but really a vehicle to introduce Pugh the new canonical Black Widow for the upcoming dark AVENGERS."
12,5,"Slow And Boring The plot was very slow, boring, and uninteresting for me. The action scenes were nothing special, and the main villain is a generic bad guy, who could be defeated by anyone in the MCU with very little effort. In other words, I felt this movie was unnecessary, especially after the events in Endgame. I would highly recommend skipping this one! You are not missing out on anything in this movie!"
13,4,Just boring. One of those Marvel movies I stop at half time and then just skim til the end. Just boring. One of those Marvel movies I stop at half time and then just skim til the end. Just boring. One of those Marvel movies I stop at half time and then just skim til the end. Just boring. One of those Marvel movies I stop at half time and then just skim til the end. Just boring.
14,6,"Filler. I honestly do not get why have they done a film about a character that they already gave a proper ending. This film does nothing more than introducing a new black widow. The film look like a lazily written rip off of Mission Impossible. The villains were terrible, especially Taskmaster who has better character development in a PS4 game Marvels Spider - Man."
15,5,Being punched in the face never looked so good. These sisters take a lot of damage and still look good. Way over the top with too many women fighting. A 14 year old's dream. At one point I yelled girl fight! 5 / 10 because of the hot chicks. Flo looks great!
16,1,Snooze fest Incredibly boring. Started slow and went downhill from there. The forced Russian accents are truly terrible. Lots of vague external references. Not at all what I expected.
17,10,"Honest and Biased! I am admitting right upfront that I'm being biased in giving this movie a rating of 10/10! Well,to begin with,this is quite a good movie,where the character development was phenomenal,specially that of Yelena(played by Florence Pugh)! Seeing Scarlett Johansson made me feel sad,tbh,since this movie's a prequel to the Endgame(2019),and we all know that Black Widow's gone for good there(unless MCU adopts the Multiverse Theory as shown in the WHAT IF Series)!!David Harbour was Funny and Energetic,quite good actually! But the sole reason for me rating this 10/10(an unbiased rating from my perspective wouldve been 7.5/10) is Rachel Weisz,a.k.a. THE MOST STUNNING WOMAN EVER! Period.💯❤"
18,6,"What's the point of dragging black widow's past?? I don't feel the necessity of knowing black widow's story at all. Maybe MCU is out of story and that's why pulling all this unnecessary stories into it. However, I would love that if the story was decent, it just too boring.... :3."
19,6,"If it was on it's own I'd probably give this 7-8 stars because it actually wasn't bad. Why I give it a 6 is the point of the movie in the MCU timeline makes zero sense.Being on the run is fine and catching up with her family was ok, but she's fighting a global criminal org, basically Hydra pt 2, so where have they been this whole time?Putting this in the timeline between a couple of the best in the series with Civil War and Infinity didn't do it for me. And since they did that, where'd everyone go after? They just jump to the end credits and she's gone."
20,2,Boring as hell Movie is way too boring and also very slow.star cast is good but the story isn't that good.only 2 star for it.marvel should stick to avengers now.a flop movie.
21,8,It was good but there was more potential It was good but it should have been set before civil war so there could be a second one with Natasha romanoff I also think there was a lot of potential for taskmaster that wasn't used she should have been male but his face kept secret like the mandolrian he should have been in the second one as the absolute main villain but make it look Like he died like he was on the ship when it crashed but survived and the post credit seen was just his mask lighting up so he's it was good but alot of wasted potential.
22,3,Good acting couldn't save the bad writing The movie had good acting. But the stern was very meh. The jokes mostly felt forced.It was probably the second worth movie in the MCU behind Iron man 2. Up to that point at least. Eternals was definitely worse though. So it's not the 3rd worse movie.
