,Rating,Reviews
0,4,"All a bit of a stretch at a boring pace This film is way too long for how lukewarm the tone and pace are. Add that with a ton of inconsistencies about their abilities to get involved and not get involved in certain events, plus a mention of Superman in a Marvel film, and it equals a thumbs down from me.This is the first Marvel instalment that I haven't liked. I've been riding the ride since Iron Man and have always been impressed. Varying degrees of impressed, but nonetheless. The best thing about this film for me was the cast itself. They are the reason for all 4 stars I can muster up for this one.Eternals was a really big let down for me. Shang Chi was a much, much better introduction to new characters and new storylines."
1,4,"Eternal As a marvel fan, I am kinda disappointed seeing the film for various of reasons. Especially the unnecessary nudity scenes at the first place, so ya not really a family friendly movie. Not really my cup of tea.Quote: When you love something, you protect it. It is the most natural thing to do in the world."
2,7,Wasted potential Okay after the reviews and other I head before going into this one I had no high hopes. But sure they could've done better with the fight scenes and some scenes felt forced and weird and also felt like they used those names for those actors and you know what show.But overall yes a great action movie but I felt more like okay and now ? Than omg it was such a awesome movie. It was good but just felt like they didn't even try to make it awesome !
3,3,"Another Hollywood debacle Lately it seems that movies are not no more than a reflection of Hollywood's' own troubles. Hero's with clinical depression questioning their own existence and all but devoid of happiness.Angelina's character was there for what reason? To show us all that even superhero's need therapy?This one belongs on the scrap heap along with the last pathetic James Bond mess.It barely qualifies for a 3. A waste of time, unless you find flawed characters, poor acting, and melancholy entertaining."
4,2,"Should have been a Disney show. This doesn't even feel like a recent MARVEL movie - comes across as slapdash and hastily put together, and the plot doesn't make sense. This business with THENA getting out of control over and over, they should have dealt with that, she's a danger to the whole team. A spicier take would have been: What's so special about humanity that we should save them? They're ruining the planet and the people they tend to put in charge are just the worst. We're letting the Celestial out, and then the Avengers have to stop the Eternals. By the way, i downloaded this illegally, and I'm glad I didn't pay to see it in the theater."
5,2,"Is this REALLY the best they could do? I agree with everyone else that the story and the pacing is just awful. About halfway through I realize what Serci realizes: whatever side you're on, Mankind is really just food. One side has been sucking down folks for dinner (LOVED that little kid watch his Dad get swallowed up right from the start, reminded me of a dinosaur documentary I saw showing a T-Rex that got too close to shore only to find out he really wasn't the apex predator - Eternals reference there too - if you include the world's ancient oceans). The other side has been raising them like cattle to be ingested by a new Eternal living in the Earth's core; when there's enough dummies on Earth generating enough life force they get chowed down during the ""Emergence"".Once you realize this - and our memory-erased heros have been helping do this to countless civilizations across the galaxy for millennia - you realize that the boredom you've endured to that point just isn't worth it. I turned it off and went looking for the first Iron Man yet again. Watching the beautiful Gemma Chan is a delight but there's nothing else here that's worth your time. Couldn't even finish this."
6,1,"The Most Pretentious Marvel Film I Ever Seen This film tried many things and it failed tremendously, one of the worst films in general that I ever seen! The first sign that this film is terrible was the opening, a wall of text you have to read, are you kidding me!? This isn't Star Wars so why are you using that trope?! They could of creatively used the Cgi to make a cool background explanation like they did with Black Panther, that was way better, or maybe used Sprite because wasn't that the point of their powers, to be a storyteller? Terrible beginning!The acting is terrible as well, it clear that these actors and actresses doesn't give a damn about the story, especially the main leads of Sersei and Ajak, the worst! The only characters that I cared about was Phastos, Druig, and the fast girl because they gets things done, they don't mope around like a bunch of morons like Ikaris and Spite. Ikaris was a complete moron in this movie, the whole argument of life was taken at face value and made me hate this movie for even trying to talk about something as philosophically deep as that!Can't believe that this film was even made, it's pointless and keeps trying to reference other Marvel stuff like who cares! Also that ""sex scene"" that Kevin Fiege was bragging that this was some ""ground breaking"" moment in cinema is just embarrassing, the two main leads had no chemistry! The chemistry between Edward and Bella from Twilight is more better than this garbage!"
7,6,"Eternally Mid If you want to make a movie that tackles complex themes like existentialism, faith, and duty, you need to have emotional impact and Eternals is sorely lacking in that department. It's a movie that suffers from serious pacing problems that are further compounded by boring characters.The decision to shoot using primarily natural light is a creative gamble that ultimately hurts the film because better lighting is needed to elevate many scenes and to provide that contrast between exterior and interior shots. The film is drab, even though some of the visuals are truly breathtaking.Also, the flipping between different eras and characters is not well done by the writers at all and many characters or ""emotional moments"" pay the price for it. It's hard to care about the story because something feels like it's missing, and everything feels too subtle and nuanced to make an impact."
8,7,"Cerebral, Soulful, Diverse, Dope Visuals + Perf Cast I hated the story the first time I watched it. There is A LOT going on. It was difficult to follow. But the visuals? WHEW! Absolutely stunning cinematography and visual effects. Marvel has dumbed us down and conditioned us to expect a certain look + story.I am an intellectual person and always in my mind so I decided to give it another chance. I tried to go into it without any typical Pre Marvel expectations. Wow! Once I paid attention to the story and watched it a second time my mind was blown. It's a beautiful story with so many themes + metaphors. I myself was most touched by Gilgamesh's protective loving care of Thena. As well as Sersi in general as a mortal hearted + earth loving immortal.What she did for Sprite!? I needed them to do a little better for Ikaris's ending. It seemed. . too tidy + not in line with his character development.Even if it was to just see Chloe Zao's gorgeous naturalist style of shooting I would watch it a 4th time now. I mean the visuals alone made me SWOON. The cast, the costume design!If you only watched it once, give it another go with a more open mind. Try to go into it without expecting anything like Endgame. Also check out the BTS doc on Disney+ called, 'Assembled: The Making of The Eternals,' if you haven't already. I promise it will be worth it.CANNOT WAIT FOR MAHERSHALA IN BLADE!!!"
9,6,"Why? I will start by saying that I am 100% behind Hollywood including more racial diversity. I am all for more strong female lead movies. I am in no way that hater of those things, that sadly I read so many comments about on here. That said, in the context of this story, I am not sure why they chose to go that route, especially when their origin is explained. Why would Asherem design such a racily diverse group, especially when he sends them to earth at a time when everyone would be mocha colored. Also, why make one deaf? Why make one a child? Why make one gay? Again, I am in no way against that if it fits the story. Here, it just feels forced and honestly, underutilized, as it doesn't really play a part in the plot. It's nice to see the diversity, but doing it just because it gives more fodder for the haters to latch onto.The movie itself suffered slightly because of thi,, but overall I found it enjoyable."
